year,keyword,frequency
2025,anticoagulants,3
2025,caregivers,3
2025,internet of things,3
2025,"carcinoma, pancreatic ductal",3
2025,"radiotherapy planning, computer-assisted",3
2025,single-cell analysis,3
2017,artificial intelligence,3
2025,immunohistochemistry,3
2025,liver cirrhosis,3
2025,"carcinoma, hepatocellular",3
2025,stomach neoplasms,3
2025,kidney neoplasms,3
2025,cone-beam computed tomography,3
2025,osteoarthritis,3
2025,"osteoarthritis, knee",3
2026,radiation dosage,3
2025,blinking,3
2025,breast,3
2025,markov chains,3
2025,biotechnology,3
2024,electronic health records,3
2015,big data analytics,3
2022,humans,3
2025,automobile driving,3
2012,big data,3
2025,melanoma,3
2025,medical oncology,3
2025,pain measurement,3
2025,patient compliance,3
2020,artificial intelligence,3
2025,hypertension,3
2026,"biomarkers, tumor",3
2025,autistic disorder,3
2025,mammography,3
2025,"models, biological",3
2025,tumor microenvironment,3
2025,fingers,3
2025,"surgery, computer-assisted",3
2025,nutrition surveys,3
2025,covid-19 drug treatment,2
2025,dna methylation,2
2025,aphasia,2
2026,"databases, protein",2
2025,social determinants of health,2
2024,risk assessment,2
2025,"fractures, bone",2
2024,alzheimer disease,2
2025,escherichia coli,2
2025,peptides,2
2025,eating,2
2026,risk factors,2
2025,thyroid nodule,2
2025,biological products,2
2025,arm,2
2025,respiratory rate,2
2025,phylogeny,2
2025,fundus oculi,2
2025,cross infection,2
2025,wireless technology,2
2026,molecularly imprinted polymers,2
2026,mitochondria,2
2025,neurodegenerative diseases,2
2025,hemiplegia,2
2025,diabetic retinopathy,2
2025,transcranial direct current stimulation,2
2025,remote sensing technology,2
2025,ballistocardiography,2
2025,otoscopy,2
2025,colonoscopy,2
2025,retinal vessels,2
2025,symptom assessment,2
2025,"radiography, panoramic",2
2025,obesity,2
2025,locomotion,2
2025,gene editing,2
2025,fetus,2
2025,dental pulp cavity,2
2025,attention deficit disorder with hyperactivity,2
2024,covid-19,2
2026,precision medicine,2
2025,dogs,2
2013,deep learning,2
2026,computer simulation,2
2025,pupil,2
2016,data mining,2
2025,consciousness,2
2025,kidney,2
2024,"databases, genetic",2
2025,body mass index,2
2026,"arthritis, rheumatoid",2
2025,"carcinoma, non-small-cell lung",2
2025,fatty liver,2
2025,rest,2
2025,diffusion magnetic resonance imaging,2
2023,big data analytics,2
2025,exercise therapy,2
2025,diffusion tensor imaging,2
2025,tremor,2
2025,"emergency service, hospital",2
2025,adipose tissue,2
2025,normal distribution,2
2025,"arthritis, rheumatoid",2
2024,genome-wide association study,2
2025,postural balance,2
2025,suicidal ideation,2
2025,triple negative breast neoplasms,2
2025,anti-bacterial agents,2
2026,vagus nerve stimulation,2
2025,biofuels,2
2025,research design,2
2025,athletic performance,2
2025,heart ventricles,2
2026,magnetic resonance imaging,2
2025,mendelian randomization analysis,2
2025,"databases, protein",2
2023,big data,2
2025,anthropometry,2
2025,wrist injuries,2
2025,biosensing techniques,2
2026,gene ontology,2
2025,colonic polyps,2
2025,network pharmacology,2
2024,ecosystem,2
2025,"protein processing, post-translational",2
2025,micrornas,2
2025,multigene family,2
2023,research personnel,2
2022,animals,2
2025,anatomic landmarks,2
2025,multiomics,2
2025,heart murmurs,2
2026,phenotype,2
2025,feasibility studies,2
2025,drug design,2
2026,rna,2
2025,torque,2
2025,motor cortex,2
2025,protein conformation,2
2025,extracellular matrix,2
2025,mutation,2
2025,randomized controlled trials as topic,2
2025,peripheral arterial disease,2
2025,"product surveillance, postmarketing",2
2025,task performance and analysis,2
2024,transcriptome,2
2025,workflow,2
2025,ankle joint,2
2025,evidence-based medicine,2
2025,chest pain,2
2023,animals,2
2025,human activities,2
2025,acute kidney injury,2
2024,molecular docking simulation,2
2025,regression analysis,2
2025,carotid stenosis,2
2025,entropy,2
2024,software,2
2025,ischemic stroke,2
2026,ultrasonography,2
2025,musculoskeletal system,2
2025,genetic predisposition to disease,2
2025,pain,2
2025,heart,2
2024,young adult,2
2025,boosting machine learning algorithms,2
2024,multifactorial inheritance,2
2025,hip,2
2025,critical care,2
2024,sars-cov-2,2
2025,longitudinal studies,2
2025,schizophrenia,2
2026,"radiotherapy planning, computer-assisted",2
2026,neuroimaging,2
2025,"carcinoma, renal cell",2
2023,"medicine, chinese traditional",2
2025,quality of life,2
2015,blockchain,2
2025,synthetic lethal mutations,2
2025,proteomics,2
2025,retinopathy of prematurity,2
2025,protein interaction mapping,2
2025,antiviral agents,2
2025,pharmacogenetics,2
2019,"databases, factual",2
2025,cohort studies,2
2025,skin,2
2024,"crops, agricultural",2
2025,neoplasm metastasis,2
2024,adult,2
2025,metabolic engineering,2
2025,life style,2
2025,foot,2
2025,otitis media,2
2026,radiotherapy dosage,2
2025,quantum theory,2
2025,diet,2
2025,cerebellar ataxia,2
2025,immunotherapy,2
2025,genotype,2
2025,galvanic skin response,2
2018,biomedical research,2
2026,"gene expression regulation, neoplastic",2
2025,asthma,2
2025,motor neurons,2
2026,"tomography, x-ray computed",2
2025,reading,2
2024,risk factors,2
2025,heart diseases,2
2025,radiotherapy dosage,2
2025,protein folding,2
2025,arousal,2
2026,electroencephalography,2
2025,molecular sequence annotation,2
2025,meals,2
2025,catheter ablation,2
2025,glioma,2
2025,hospitalization,2
2025,multimodal imaging,2
2025,shoes,2
2025,optic disk,2
2022,deep learning,2
2025,arterial pressure,2
2026,molecular imprinting,2
2017,electronic health records,2
2025,magnetoencephalography,2
2025,"models, molecular",2
2016,humans,2
2026,animals,2
2025,cardiac output,2
2025,vital signs,2
2026,nucleic acid conformation,2
2023,molecular docking simulation,2
2026,brain,2
2025,lung diseases,2
2026,gene regulatory networks,2
2017,genomics,2
2026,echocardiography,2
2026,microscopy,2
2025,linguistics,2
2025,neoplasm grading,2
2025,biosynthetic pathways,2
2025,"sequence analysis, rna",2
2025,"gene expression regulation, plant",2
2025,"depressive disorder, major",2
2025,biomass,2
2021,female,2
2026,proteins,2
2025,solitary pulmonary nodule,2
2026,infant,2
2025,environmental monitoring,2
2025,rna,2
2025,respiratory function tests,2
2025,thorax,2
2025,"electrocardiography, ambulatory",2
2026,signal transduction,2
2022,data science,2
2025,multifactorial inheritance,2
2025,"intensive care units, neonatal",2
2025,swine,2
2025,wheelchairs,2
2017,data mining,2
2026,atherosclerosis,2
2025,fourier analysis,2
2025,rem sleep behavior disorder,2
2025,privacy,2
2025,positron-emission tomography,2
2019,middle aged,2
2026,nomograms,2
2025,wakefulness,2
2025,"neoplasm recurrence, local",2
2025,electrocorticography,2
2025,patient safety,2
2026,polysaccharides,2
2025,bone and bones,2
2025,communicable diseases,2
2026,coronary disease,1
2025,uveal neoplasms,1
2025,age of onset,1
2026,protein-tyrosine kinases,1
2025,intervertebral disc,1
2025,thermography,1
2025,gastrointestinal diseases,1
2025,cortical synchronization,1
2025,proportional hazards models,1
2025,respiratory tract diseases,1
2025,"nystagmus, pathologic",1
2025,glycated hemoglobin,1
2024,china,1
2025,amyotrophic lateral sclerosis,1
2025,blood culture,1
2025,sex factors,1
2025,frailty,1
2025,facial paralysis,1
2017,proteins,1
2024,taxus,1
2024,internet,1
2025,genetic background,1
2023,"carcinoma, hepatocellular",1
2025,mass spectrometry,1
2025,saccharomyces cerevisiae,1
2025,color,1
2025,four-dimensional computed tomography,1
2024,nanomedicine,1
2025,"lateral ligament, ankle",1
2025,microelectrodes,1
2025,uruguay,1
2025,consensus,1
2025,cooperative behavior,1
2025,dog diseases,1
2025,"receptor, melanocortin, type 4",1
2025,"data interpretation, statistical",1
2026,pneumonia,1
2025,crying,1
2025,thyroid neoplasms,1
2025,kaplan-meier estimate,1
2025,europe,1
2025,ergonomics,1
2023,oceans and seas,1
2025,"administration, oral",1
2019,antineoplastic combined chemotherapy protocols,1
2025,virtual reality,1
2025,extracellular vesicles,1
2024,australia,1
2024,animal migration,1
2025,acclimatization,1
2025,systems biology,1
2025,tacrolimus,1
2025,ether-a-go-go potassium channels,1
2025,cryoelectron microscopy,1
2025,drug resistant epilepsy,1
2022,colonic neoplasms,1
2025,calcinosis,1
2018,delivery of health care,1
2025,cattle,1
2025,black or african american,1
2025,electric conductivity,1
2025,flow cytometry,1
2017,"models, statistical",1
2026,generative adversarial networks,1
2026,transcutaneous electric nerve stimulation,1
2025,quadriplegia,1
2018,data mining,1
2023,liver neoplasms,1
2025,infections,1
2025,meta-analysis as topic,1
2025,transcranial magnetic stimulation,1
2025,"infusions, intra-arterial",1
2022,natural language processing,1
2023,names,1
2024,"databases, factual",1
2025,anopheles,1
2023,china,1
2024,ethnicity,1
2026,cochlear implantation,1
2026,wine,1
2020,china,1
2023,hepatic encephalopathy,1
2017,"databases, genetic",1
2017,telemedicine,1
2018,india,1
2025,spinal cord,1
2024,prevalence,1
2026,digestion,1
2025,"statistics, nonparametric",1
2026,electronic health records,1
2026,sepsis,1
2026,gastrointestinal stromal tumors,1
2026,motion,1
2025,feedback,1
2025,temporomandibular joint disorders,1
2024,england,1
2025,blood volume,1
2018,magnetic resonance imaging,1
2025,"radiotherapy, intensity-modulated",1
2025,heart atria,1
2025,neoplasm staging,1
2025,breath holding,1
2024,artifacts,1
2026,calgranulin a,1
2024,lung neoplasms,1
2024,mental disorders,1
2025,"tuberculosis, pulmonary",1
2025,microsatellite instability,1
2017,neoplasms,1
2025,computer graphics,1
2025,"monitoring, intraoperative",1
2025,morus,1
2025,volatile organic compounds,1
2025,cataract extraction,1
2025,cattle diseases,1
2025,recurrence,1
2024,drug prescriptions,1
2016,"models, theoretical",1
2025,trust,1
2024,health facilities,1
2025,bursitis,1
2026,"refraction, ocular",1
2019,apoptosis,1
2025,dust,1
2025,shoulder joint,1
2025,"tomography, emission-computed, single-photon",1
2025,weightlessness,1
2017,health information management,1
2026,dietary proteins,1
2026,republic of korea,1
2025,caffeine,1
2024,retrospective studies,1
2025,health personnel,1
2018,"rna, guide, crispr-cas systems",1
2024,renal dialysis,1
2024,animal husbandry,1
1992,artificial intelligence,1
2025,proteome,1
2024,"genetics, population",1
2018,high-throughput nucleotide sequencing,1
2023,gene expression,1
2025,"monitoring, ambulatory",1
2025,quantitative structure-activity relationship,1
2025,high-throughput nucleotide sequencing,1
2025,racial groups,1
2025,emotional regulation,1
2016,"models, economic",1
2025,bicycling,1
2019,phylogeny,1
2025,central pattern generators,1
2025,nebulizers and vaporizers,1
2023,water,1
2023,vascular endothelial growth factor a,1
2025,uterine contraction,1
2025,diaphragm,1
2025,"obstetric labor, premature",1
2025,persons with hearing disabilities,1
2020,molecular docking simulation,1
2020,magnetic resonance imaging,1
2025,geriatric assessment,1
2025,nucleotides,1
2025,microwave imaging,1
2025,"diabetes, gestational",1
2017,precision medicine,1
2025,persons with visual disabilities,1
2025,microfluidics,1
2025,elasticity imaging techniques,1
2025,keratoconus,1
2025,data analytics,1
2016,cardiovascular diseases,1
2025,molecular docking simulation,1
2025,auditory perception,1
2025,speech perception,1
2022,phylogeny,1
2026,"sequence analysis, rna",1
2025,induced pluripotent stem cells,1
2026,"heart defects, congenital",1
2018,male,1
2025,fetal monitoring,1
2025,pre-eclampsia,1
2025,disaster planning,1
2025,"databases, nucleic acid",1
2022,adolescent,1
2025,laryngeal neoplasms,1
2025,"respiration, artificial",1
2024,"epistasis, genetic",1
2025,"rna, plant",1
2017,software,1
2025,user-computer interface,1
2021,pharmacogenetics,1
2026,genomics,1
2017,aged,1
2023,"drugs, chinese herbal",1
2023,rare diseases,1
2025,seer program,1
2019,attitude,1
2025,occupational exposure,1
2022,"evolution, molecular",1
2026,organ transplantation,1
2026,radiopharmaceuticals,1
2025,tertiary lymphoid structures,1
2025,nesting behavior,1
2019,search engine,1
2025,dopamine plasma membrane transport proteins,1
2025,suicide prevention,1
2023,prognosis,1
2026,biomedical research,1
2026,glioma,1
2026,dogs,1
2025,abstracting and indexing,1
2017,adult,1
2025,walking speed,1
2026,hypopharyngeal neoplasms,1
2025,alcoholism,1
2025,protein domains,1
2025,"sleep, rem",1
2025,corynebacterium glutamicum,1
2025,"manuscripts, medical as topic",1
2022,covid-19,1
2025,alopecia,1
2025,echo-planar imaging,1
2025,"evoked potentials, motor",1
2025,heart auscultation,1
2024,brachyura,1
2025,functional laterality,1
2024,mass spectrometry,1
2025,gene ontology,1
2025,east asian people,1
2025,"libraries, medical",1
2024,tandem mass spectrometry,1
2025,immune checkpoint inhibitors,1
2025,alpha-ketoglutarate-dependent dioxygenase fto,1
2025,medical errors,1
2025,spinal diseases,1
2026,brain-computer interfaces,1
2025,chlorophyll a,1
2018,aging,1
2025,"killer cells, natural",1
2023,transcriptome,1
2025,immune evasion,1
2025,respiratory syncytial virus infections,1
2025,comorbidity,1
2025,tooth,1
2025,creatinine,1
2025,apolipoproteins e,1
2023,"gene expression regulation, plant",1
2026,forensic toxicology,1
2017,cross-sectional studies,1
2022,lipidomics,1
2025,"muscular dystrophy, duchenne",1
2025,empathy,1
2026,brain neoplasms,1
2019,bacteria,1
2025,united kingdom,1
2025,malaysia,1
2025,pulmonary artery,1
2025,"drug resistance, neoplasm",1
2025,mental fatigue,1
2019,benzimidazoles,1
2022,myocardial infarction,1
2026,"protein processing, post-translational",1
2025,anti-n-methyl-d-aspartate receptor encephalitis,1
2018,female,1
2018,cardiovascular diseases,1
2025,"speech, alaryngeal",1
2019,food industry,1
2022,consanguinity,1
2022,"shock, cardiogenic",1
2025,plant growth regulators,1
2026,patient-centered care,1
2025,"models, theoretical",1
2026,"sequence analysis, protein",1
2026,growth disorders,1
2018,educational measurement,1
2025,stomach diseases,1
2023,"milk, human",1
2025,intention,1
2025,orthotic devices,1
2022,prognosis,1
2025,premature birth,1
2025,glioblastoma,1
2020,policy making,1
2024,asian people,1
2025,positron emission tomography computed tomography,1
2025,knee,1
2025,"pregnancy complications, cardiovascular",1
2026,image enhancement,1
2020,"neural networks, computer",1
2022,"mice, inbred c57bl",1
2025,video games,1
2025,polycystic ovary syndrome,1
2023,infant,1
2025,ovarian neoplasms,1
2025,"reflex, stretch",1
2025,wrist fractures,1
2025,perfusion,1
2025,gadolinium,1
2021,beginning of human life,1
2022,aberrant crypt foci,1
2013,big data analytics,1
2016,algorithms,1
2018,adult,1
2025,programmed cell death 1 receptor,1
2025,communication,1
2025,polypharmacy,1
2025,metabolic syndrome,1
2025,malaria,1
2025,data compression,1
2025,canes,1
2014,big data analytics,1
2025,radioisotopes,1
2024,length of stay,1
2025,awareness,1
2026,prenatal diagnosis,1
2020,breast neoplasms,1
2026,leucine zippers,1
2024,neoplasm proteins,1
2025,lower body negative pressure,1
2017,"databases, factual",1
2023,"pattern recognition, automated",1
2025,sweden,1
2019,latin america,1
2025,nursing diagnosis,1
2025,neurosurgical procedures,1
2025,infrared rays,1
2021,adolescent,1
2025,neoadjuvant therapy,1
2023,network pharmacology,1
2025,amino acid sequence,1
2025,oxygen saturation,1
2025,bees,1
2025,spinal cord injuries,1
2025,drug synergism,1
2026,educational status,1
2026,intercellular signaling peptides and proteins,1
2025,hip joint,1
2025,cephalometry,1
2025,"scleroderma, systemic",1
2025,tissue engineering,1
2024,emotions,1
2019,malpractice,1
2025,delirium,1
2022,retrospective studies,1
2025,vectorcardiography,1
2024,germany,1
2025,hot temperature,1
2023,anemia,1
2024,entropy,1
2024,coronavirus infections,1
2026,food technology,1
2019,forecasting,1
2024,cross-sectional studies,1
2024,prognosis,1
2025,aortic dissection,1
2025,radiosurgery,1
2026,speech perception,1
2026,nasopharyngeal neoplasms,1
2019,cell proliferation,1
2019,diagnostic errors,1
2026,cyclin-dependent kinase inhibitor p21,1
2026,movement,1
2026,protein multimerization,1
2025,optical imaging,1
2026,"gait disorders, neurologic",1
2025,"surgical procedures, operative",1
2019,adult,1
2025,facial nerve,1
2025,"pacemaker, artificial",1
2025,radial artery,1
2025,respiratory insufficiency,1
2023,hesperidin,1
2025,"vaccines, virus-like particle",1
2024,"tomography, x-ray computed",1
2026,nutrition surveys,1
2025,knowledge bases,1
2025,pericardium,1
2025,preoperative care,1
2025,microwaves,1
2025,data analysis,1
2025,radiation monitoring,1
2026,aging,1
2025,iliac vein,1
2023,gene expression profiling,1
2025,health services needs and demand,1
2026,"radiotherapy, intensity-modulated",1
2025,canada,1
2026,"medicine, chinese traditional",1
2025,reference standards,1
2026,transcription factor ap-1,1
2025,glucose,1
2024,mining,1
2025,drug dosage calculations,1
2025,radiation exposure,1
2025,muscular diseases,1
2025,athletes,1
2025,ophthalmology,1
2025,replication origin,1
2022,st elevation myocardial infarction,1
2025,secondary metabolism,1
2025,orthopedic procedures,1
2024,"decision support systems, clinical",1
2024,semantics,1
2025,"fixation, ocular",1
2025,minimally invasive surgical procedures,1
2023,diabetes mellitus,1
2025,gentian violet,1
2026,"databases, genetic",1
2026,single-cell analysis,1
2025,area under curve,1
2024,tin,1
2025,triglycerides,1
2024,coping skills,1
2025,nurse's role,1
2024,"models, statistical",1
2024,peptides,1
2025,veterinarians,1
2023,east asian people,1
2024,dynamin ii,1
2026,proteomics,1
2024,phenotype,1
2025,urinary bladder neoplasms,1
2025,friedreich ataxia,1
2026,molecular dynamics simulation,1
2026,"aged, 80 and over",1
2025,acute pain,1
2025,counterpulsation,1
2024,drug repositioning,1
2024,drug delivery systems,1
2025,computer security,1
2024,incidence,1
2026,phosphorylation,1
2025,liver transplantation,1
2017,phenotype,1
2025,saccades,1
2025,pharyngeal neoplasms,1
2025,chloride channels,1
2024,drug design,1
2024,"pneumonia, viral",1
2025,stomach,1
2025,intracranial aneurysm,1
2016,"translational research, biomedical",1
2017,female,1
2023,chemometrics,1
2025,"pregnancy trimester, second",1
2025,"burnout, professional",1
2024,proteomics,1
2025,clinical decision-making,1
2025,skin diseases,1
2025,extraterrestrial environment,1
2024,linkage disequilibrium,1
2025,radiation pneumonitis,1
2025,acute disease,1
2025,disability-adjusted life years,1
2024,hospitals,1
2025,fovea centralis,1
2026,vitis,1
2021,"child, preschool",1
2022,mass spectrometry,1
2025,confidentiality,1
2025,drug development,1
2025,"colitis, ulcerative",1
2025,venous thrombosis,1
2024,genetic predisposition to disease,1
2026,biological availability,1
2025,frontotemporal lobar degeneration,1
2025,pharmacoepidemiology,1
2025,lumbar vertebrae,1
2023,sheep,1
2025,ribosomes,1
2025,scoliosis,1
2024,lipidomics,1
2026,mammography,1
2025,phase transition,1
2019,internet,1
2026,large language models,1
2023,length of stay,1
2023,phylogeny,1
2025,candida,1
2024,patient safety,1
2025,cataract,1
2025,vocal cords,1
2024,environmental monitoring,1
2025,connectome,1
2017,prognosis,1
2025,electric stimulation,1
2025,"evolution, molecular",1
2025,internship and residency,1
2025,staining and labeling,1
2025,methicillin-resistant staphylococcus aureus,1
2017,medical oncology,1
2026,stroke rehabilitation,1
2025,hydrogen-ion concentration,1
2025,multivariate analysis,1
2025,breeding,1
2025,circadian rhythm,1
2025,transfusion reaction,1
2025,safety-net providers,1
2026,"ultrasonography, mammary",1
2025,"rna processing, post-transcriptional",1
2016,systems integration,1
2025,detection algorithms,1
2025,endodontics,1
2026,inflammation,1
2026,united kingdom,1
2019,mammography,1
2025,electromagnetic fields,1
2019,"hospitals, pediatric",1
2026,"databases, factual",1
2025,eczema,1
2026,"child, preschool",1
2018,machine learning,1
2025,patient satisfaction,1
2022,adult,1
2025,stroke volume,1
2024,mutation,1
2025,sex determination by skeleton,1
2025,cognition,1
2025,facial expression,1
2022,genomics,1
2025,homes for the aged,1
2022,taurine,1
2025,asian people,1
2023,mendelian randomization analysis,1
2024,periodicals as topic,1
2025,smell,1
